event_id,sport,category,event
101dd0bf-449d-4c8c-b088-db1ef7f3f708,Football,Belgium,Anderlecht U-21 - Royal Antwerp U-21
ef534a8d-76f2-482f-bc09-b06a76921dc6,Football,Belgium,KMSK Deinze U-21 - Eupen U-21
9443dc96-f46a-447f-895b-1aa970299377,Handball,Russia,Zvezda Zvenihorod (w) - Kuban Krasnodar (w)
984ddbe0-e9dc-4cb6-b121-2118c859723e,Ice Hockey,Germany,Straubing Tigers - EHC Red Bull Munchen
bbe2dd93-e16e-4834-b5bc-691ed318ddde,Football,South America,General Caballero JLM - Sol de America
f6347734-1910-4d55-a0c3-f8dbbf0adc8e,Ice Hockey,Finland,Kajaanin Hokki - Savonlinnan Pallokerho
127b33a4-0877-417b-9b9b-c744a4b04739,Ice Hockey,Finland,TUTO Hockey Oy - K-Espoo
52c4eb41-8923-4acd-aed6-e3a4329948e3,UFC,Event,Askar Askarov - Kaiwhare Kara-France
171a4eec-7e80-4ae9-8ec3-dd5ca42bd5fd,Football,Argentina,Arsenal Sarandi - CA Chaco For Ever
15adbba2-c0fc-4785-8618-71f7fe837841,Volleyball,Russia,Dynamo LR - Fakel
5226cb22-e527-40af-a5f5-fcd5efc19b13,Basketball,Europe,BK Ventspils - Liepaja
331f01d5-cb53-442a-9ab7-1f3f77b2c177,Ice Hockey,Sweden,Oskarshamn - Orebro
da7b5d80-5d5c-4d9b-ae34-ed9ca4c0292d,Basketball,Czech Republic,BK Pardubice II - USK Praha II
042db10a-29fa-4cb0-b4ce-c4af86e7048c,Ice Hockey,Finland,SaiPa - Vaasan Sport
f367b92e-789e-48a5-ab54-ad8796286a18,Football,Sweden,IFK Norrkoping U-21 - Orebro SK U-21
04ed256a-c793-4356-8a3c-37f94df1cb4c,UFC,Event,Paddy Pimblett - Rodrigo Vargas
0024cdb9-25c8-43b7-9748-fdc9c0cec4a4,UFC,Event,Curtis Blaydes - Chris Daukaus
4a8fbd57-6532-43fe-8810-15db583c0444,Football,Italy,Juventus - Fiorentina
bbbb5e3a-30be-43d0-a50d-ba2e9930eca0,Football,Portugal,Moreirense - Sporting CP
aa3a465f-a1da-4072-988e-4b4c8bc3241d,Football,Italy,Lazio - Venezia
148afd99-f89e-4eb5-835f-1d818b35de46,Football,Spain,Mallorca - Real Madrid
3e7f6b6c-57fc-46e1-bb75-2bdddf4302f8,Football,Russia,Rubin - FC Rostov
18349e72-ad1a-46ab-88fc-51f2c961d64d,Football,England,Crystal Palace - Man City
da916672-d7b1-40d2-ab08-f1fa9a82760a,Football,UEFA Champions League,Ajax - SL Benfica
7e0566f5-d9b1-4771-a43e-ac01d5db9ff8,Football,UEFA Champions League,Man Utd - Atletico Madrid
c89c9611-0994-4d70-adbb-96cc947f6d5e,E-Sports,Counter-Strike,Vitality - Sprout
0a1ef2aa-a5e3-4d92-a0f2-d69a97377659,E-Sports,Counter-Strike,FaZe - ENCE
845f5dc5-0db3-4c06-9346-143b1d3acb7e,Football,UEFA Champions League,Juventus - Villarreal
02b70208-2377-4904-9520-7ba513a4a311,Football,UEFA Champions League,Lille - Chelsea
7a810be4-3bbe-4c27-82e5-fac5e2e7829f,Football,England,Brighton - Tottenham
ceee3e0f-59a7-4c7f-81f4-6a21e6ae19ce,Football,England,Arsenal FC - Liverpool
b0079a0a-6f56-491f-a5d4-371384c173b6,Football,England,Everton - Newcastle
8ebd10dc-9005-4f2f-b82d-305acdac4977,Football,UEFA Europa League,Crvena Zvezda - Rangers
e7386a57-3a35-475c-8ce7-05d3effd9b98,Football,UEFA Europa League,AS Monaco - Sporting Braga
2994f7e2-504b-48df-8047-d65a7819b285,Football,UEFA Europa League,Lyon - FC Porto
b12e42b6-78f1-4fe9-9fcb-a2e5a562de11,Football,UEFA Europa League,Bayer Leverkusen - Atalanta
1fe3b269-d7cf-4f94-8268-f0e20dea78b9,Football,UEFA Europa League,West Ham - Sevilla
26993e6c-99c1-4c00-ad07-15abb5d8e098,Football,UEFA Europa League,Galatasaray - Barcelona
76b498af-093d-4548-a4f0-3fda7af9d4e5,Football,UEFA Europa League,Eintracht Frankfurt - Betis
52e1bec1-269c-4bdb-ad11-fcbccbe766cb,Football,UEFA Europa Conference League,Basel - Marseille
25126b11-dafb-4904-bed7-4b493c32ae55,Football,UEFA Europa Conference League,Rennes - Leicester
0f6966c5-6896-49fd-a3e7-eb7162a92bf8,Football,UEFA Europa Conference League,KAA Gent - PAOK
98a9fe21-556d-4d26-b4a8-9da0dd7fbd93,Football,UEFA Europa Conference League,Roma - Vitesse
a2eebc64-2804-401f-9256-4dda807dc299,Football,UEFA Europa Conference League,FC Copenhagen - PSV
2c73bd11-4d04-43d0-9230-c4452d897859,Football,UEFA Europa Conference League,LASK Linz - Slavia Prague
5363458c-4aeb-4dfd-b851-f8013bc700be,Football,UEFA Europa Conference League,AZ Alkmaar - Bodo-Glimt
6f56f3ed-e105-4884-9bce-2503cdfc1d60,Football,UEFA Europa Conference League,Feyenoord - Partizan
b3b906b6-64e7-4210-9b85-fa619511f001,Football,Germany,Bochum - Borussia M'gladbach
4f554b72-a639-4817-a4ab-d6873d23c7ce,Football,England,Wolverhampton - Leeds
69dd3794-0c33-4732-ab2a-e16f7b2e2f6d,Football,France,St Etienne - Troyes
410ddf40-715b-425c-a5a5-d51fba2a678b,Football,Australia,Perth Glory - Central Coast Mariners
8a607034-c906-4b6d-9adc-2e7ec982b06a,Football,England,Aston Villa - Arsenal FC
4d8a00a4-4e58-4d00-b6e8-0ced670b88f4,Football,Germany,VfB Stuttgart - Augsburg
04f896a8-2f06-4e04-801a-b22d83292538,Football,Germany,Mainz 05 - Arminia Bielefeld
8051ad4e-e885-4596-a3ea-14855e4b1d66,Football,Germany,Hertha - TSG Hoffenheim
9ee487b8-b5f7-4843-8d80-02f80164829c,Football,Germany,Greuther Furth - SC Freiburg
2cdb79a6-e854-408a-9378-e808c0f2a3ab,Football,France,Lens - Clermont Foot
860075c2-299f-4b03-bc0e-3c4e40e01147,Football,Germany,Bayern Munich - Union Berlin
ce4351e2-ce33-49fe-8465-9b857c62c5ff,Football,France,Nantes - Lille
6302d1f7-44f7-438f-bc6d-abcf5dbb7fc0,Football,Mexico,Santos Laguna - Tijuana
1da745d3-8995-467f-a42a-4bcc6235a19e,Football,Austria,Wolfsberger AC - RB Salzburg
fdb1772d-45f6-45df-bb88-ebf6c8f3cb3e,Football,France,AS Monaco - PSG
85641ada-4865-4238-915d-d570d51bd3f3,Football,Turkey,Istanbul Basaksehir - Antalyaspor
c85432a9-55a7-4fe2-a2ca-db28430a906f,Football,England,Leicester - Brentford
5acbd331-4a9e-4f40-b481-6c52f4c0f71b,Football,England,Tottenham - West Ham
e54d0495-ea19-44be-9cc6-946c87e5c760,Football,France,Angers - Brest
e45f4f73-c55f-4bd6-9742-6135161c80d1,Football,France,Lorient - Strasbourg
b8e44052-4940-4450-869e-bdfff9fe85be,Football,France,Rennes - Metz
1f3ce374-6751-45b0-8eaf-38241dcdfaa2,Football,Germany,RB Leipzig - Eintracht Frankfurt
3d917c3e-b2e9-4782-bbb4-e14b8513e303,Football,France,Reims - Lyon
e603c357-8321-4ad9-a640-592fdc19b456,Football,Germany,Wolfsburg - Bayer Leverkusen
55217740-2435-4453-a467-e179c9058648,Football,Italy,Bologna - Atalanta
df73df1b-15a2-4a72-aadc-cb909e59cfbc,Football,Italy,Cagliari - AC Milan
cdc24dd6-5f44-4baf-b311-5be15b3e24bc,Football,Italy,Empoli - Hellas Verona
c47a107f-a6f3-4a4b-bc45-8a15b26e28cc,Football,Italy,Genoa - Torino
03a6d858-8dd8-422b-b7f3-2d7218ccc277,Football,Italy,Inter Milan - Fiorentina
fdebd4b6-d509-4a85-830a-834fb220648d,Football,Italy,Juventus - Salernitana
d31f68f5-8511-4643-9bb0-e89bc2d55686,Football,Italy,Napoli - Udinese
b1ffd5d3-ed34-454f-a5bd-4b934fb36bd4,Football,Italy,Roma - Lazio
8da71dfb-f580-4267-a04a-9f907bc82f72,Football,Italy,Sassuolo - Spezia
687f8b4b-8c31-4108-b0f8-13d4f244ca9a,Football,Italy,Venezia - Sampdoria
20e743a8-72f6-4242-bcf0-854093a7d35b,Football,Germany,Cologne - Borussia Dortmund
565d3b32-c019-402e-b68a-eaffb4c00ea6,Football,Spain,Alaves - Granada
01b7d982-13f3-403e-bb61-3a383470f683,Football,Spain,Athletic Bilbao - Getafe
607c9a03-4c8f-4f2c-b4d8-f324b1851b8a,Football,Spain,Celta - Betis
9ed21689-903c-46be-a05e-fa6683e429e1,Football,Spain,Cadiz - Villarreal
dcb86491-816d-4ebc-9563-1ccd1e54a2ed,Football,Spain,Espanyol - Mallorca
7872a250-3f23-4df4-8b7e-cda9462b5829,Football,Spain,Osasuna - Levante
648b3f0f-f37d-4602-abab-f6ccbd350e42,Football,Spain,Sevilla - Real Sociedad
4fff0b8a-47f9-44cc-8924-8d494dc39bb8,Football,Spain,Rayo Vallecano - Atletico Madrid
3d89a8a0-b1ac-429e-aff3-563ae7f73813,Football,Spain,Elche CF - Valencia
212f92d3-d2b5-493a-99da-4aa43b48150e,Football,France,Marseille - Nice
ab3bc58a-7cce-4702-84d1-b748f25d6831,Football,Spain,Real Madrid - Barcelona
9ba4048a-f661-4ddb-831a-dd5aa0f9b3e3,Football,Mexico,Atletico San Luis - Puebla
a88e550d-dfa8-448c-9314-1ac8b4f4b361,Football,Poland,Rakow Czestochowa - Stal Mielec
f944bcee-2c23-494e-ab2c-28b2ce97764d,Football,Turkey,Giresunspor - Gaziantep FK
81dea250-1694-43da-a980-1837f0cfa64f,Football,Turkey,Galatasaray - Besiktas
b707e217-c26f-4b31-b34d-abb4a330c096,Football,Germany,SV Meppen - MSV Duisburg
170ef315-0dcb-47e0-96ff-ec3e9f430bd4,Football,Denmark,Odense BK - Aalborg
06dcdff5-0f92-42fe-9205-4f3f873bf6e3,Football,South America,Oriente Petrolero - Royal Pari FC
ec2b49d5-827c-4899-a7ac-7615918a1905,Football,South America,FBC Melgar - Cienciano
734407f7-fadc-4bef-8b91-56a18341d7fb,Football,South America,Metropolitanos FC - Estudiantes Merida
e8ae68af-305d-4dc9-be4f-6e195f12a787,Football,Italy,Brescia - Benevento
8cdac871-3497-41f5-b1fc-45b23cbd9537,Football,Italy,Cittadella - Reggina
c71fdd32-8257-47ed-b425-0cb3d2696edf,Football,Italy,Como - Ternana
98ea5c69-273e-42d6-9fa0-e190e2f61343,Football,Italy,Crotone - Frosinone
071f8bc0-94e1-4491-a065-45d3360337f1,Football,Italy,Vicenza - Parma
adae2136-ce88-4de7-a971-e30185667d17,Football,Italy,Cosenza - Lecce
fc25e225-486c-480a-a9da-d6c591b02f37,Football,Poland,Legia Warsaw - Termalica Bruk-Bet Nieciecza
45e1e2cc-2db0-4a30-9b1c-52d0713f60a4,Football,France,SC Bastia - USLD Dunkerque
9dc7ea51-9d64-4e45-82d6-4df85343e8df,Football,France,Dijon - Le Havre
7da6fb15-21f3-4597-9f85-4703376afec4,Football,France,Nancy - Paris FC
a3425432-f2d5-44ab-9803-37ef453714cd,Football,France,Nimes - Auxerre
cc8243d8-aa90-44ee-b22a-b54214686fb9,Football,France,Niort - Sochaux
35bed061-ca0e-47e0-9796-f3c213786ed1,Football,France,Pau FC - Grenoble Foot 38
f5f430b6-a519-448a-95d9-ca05ccde66c9,Football,France,Quevilly-Rouen - AC Ajaccio
013aee0a-0fd3-4980-b44f-438481c1b7dd,Football,France,Rodez - Guingamp
1a8e16e2-9f55-481b-8573-94119c8355c4,Football,France,Toulouse - Amiens SC
948dc04d-7b31-4efc-9cb0-d3e57e2f8940,Football,France,Valenciennes - Caen
af2a66e2-5737-4823-a410-bb7a21b6c349,Football,Italy,Alessandria - Monza
f6102282-2304-4916-8ec3-824a2ebc1462,Football,England,Barnsley - Bristol City
e765bf6f-2b4f-4f8d-8a16-25aa5a333085,Football,England,Birmingham - Middlesbrough
356a3d53-c4a0-4f03-9b65-20039447b651,Football,England,Blackburn - Derby
ae07832c-4a3c-4fb7-b311-cbeff16a5fc6,Football,England,Bournemouth - Reading
4a604ac3-8085-40ed-9ac6-420c3f7e0ca0,Football,England,West Brom - Fulham
7a6f5aa5-ae94-456e-9d70-fb09fcfba514,Football,South America,Union La Calera - Nublense
b01d94e9-76cf-456f-9413-6cb6060893ff,Football,Australia,Adelaide United - Western Sydney
f02a247e-c739-416f-985b-281c9c945b5d,Football,Italy,Ascoli - Pisa
69c423ea-af84-49ed-bf80-ccc4f010fe32,Football,Italy,Cremonese - Pordenone
4167ef78-b54f-4ba6-8dad-8361ad0e214b,Football,Italy,Perugia - SPAL
565a6702-0000-4b70-990a-4dc5f94029fd,Football,England,Nottm Forest - QPR
3f08899e-fa08-483e-91ba-e5118a36af67,Football,England,Blackpool - Sheff Utd
b8beea1f-ddf5-4ebf-8169-fecc6912d0d5,Football,England,Coventry - Hull
d51c4427-8030-4018-8f70-75f7174be4f5,Football,England,Luton Town - Preston
6a9fbe58-38bb-417f-9910-4fb6ef6afcfa,Football,England,Cardiff - Stoke
28bb06ff-35ee-4a8d-ab30-4dc9ae3e0ab6,Football,England,Millwall - Huddersfield
731f6f48-5ec6-430b-a877-8e5a9c8e2942,Football,England,Peterborough - Swansea
1286f7d3-abb4-45f7-b197-74c1032b48ca,Football,USA,NY Red Bull - Minnesota United
25198c75-1b98-4bbb-82be-960886e12dbc,Football,Europe,PSG U-19 - RB Salzburg U-19
51462548-410f-4dba-9df3-395f341ffcfb,Football,Europe,Juventus U-19 - Liverpool U-19
a12b081e-b06a-476b-8ab6-d5383d3d8653,Football,Germany,St Pauli - Heidenheim
aa340970-a8ab-4bbe-9833-391f5ea7ed4e,Football,South America,Estudiantes La Plata - Everton Vina del Mar
5f60e475-b0c1-4f25-b81b-8f1be584d2bf,Football,England,Middlesbrough - Chelsea
7975ae40-48dd-42d9-a569-27821589dc95,Football,England,Southampton - Man City
cff0bf55-fafa-4178-ac85-8eda9cedbaea,Football,Colombia,CDC Atletico Nacional Medellin (w) - La Equidad (w)
c3929913-1eef-4703-ada2-fe08fd47c79d,Football,Brazil,Botafogo SP - Gremio Novorizontino
0c9fc9a4-8207-4aa1-b7e6-4cf0303e2997,Football,Brazil,Ituano FC - RB Bragantino
019b3a47-c87d-4987-919e-6a5f9e0eaef8,Football,Australia,Newcastle Jets - Wellington Phoenix
af885112-13af-4eb7-8100-8e56a611a130,Football,Russia,Ural - FC Khimki
197423f5-ad91-4e90-b709-a93590a1701e,Football,Russia,FC Nizhny Novgorod - Spartak Moscow
754745d8-15c0-417e-9e81-b7788ecc05d2,Football,Russia,CSKA Moscow - Rubin
b8360f1c-609e-4147-b41a-6709888c09b3,Football,Russia,Akhmat - Lokomotiv Moscow
29dc142f-4618-44bc-8052-de9336b72e08,Football,Russia,FC Sochi - Krylia Sovetov
ff498738-0f44-459e-a241-bcfde57a0f84,Football,Russia,Zenit St Petersburg - Arsenal Tula
bae696c1-4cb1-4bfd-ac82-28314ab40d99,Football,Russia,Dynamo Moscow - FC Rostov
564465f1-ed8f-49f0-996e-2c8a758ce3d3,Football,Russia,FC Ufa - FC Krasnodar
21977156-0e39-4b95-b208-8791f4c5b9e5,Football,Austria,Floridsdorfer AC - Kapfenberger SV
63facfe8-25ea-45b8-ba43-afeaa8a549c1,Football,Germany,Mainz 05 - Borussia Dortmund
929ead1d-df92-4a14-9723-87e6a5532eee,Football,Bulgaria,Pirin Blagoevgrad - Slavia Sofia
d1caa63c-4efb-44b6-841b-da4e99a6ba94,Football,Turkey,Caykur Rizespor - Trabzonspor
cb6613ad-97cf-45a7-ade1-f34f69fba163,Football,Turkey,Fatih Karagumruk SK - Kayserispor
e79e3326-a316-42d0-a996-1b10c7addbb6,Football,Cyprus,PAEEK - Ethnikos Achnas
afcc1432-3918-4b55-92f8-b881a620d9f9,Football,France,Chateauroux - Stade Lavallois
bfe1ba41-1919-4b2a-a3da-93aad0537608,Football,Switzerland,Neuchatel Xamax - FC Winterthur
4ce71086-e0bf-416f-86de-b470dc273a10,Football,Netherlands,SC Heerenveen - Heracles
da19fb4b-4d6b-4c58-b118-ad668e8aa777,Football,Netherlands,MVV Maastricht - Jong AZ Alkmaar
5676f8c1-fc14-40a9-871b-a8df9883642d,Football,Portugal,Leixoes - Vilafranquense
91daf234-791b-44b5-ab47-6bc9395fede5,Football,Belgium,Union Saint Gilloise - KV Oostende
a4bbe0d9-4435-4c64-8fce-a43593a8dabb,Football,Ireland,Bohemian FC - Shelbourne
01ed3855-c1de-4127-8826-c3c9d4e26859,Football,Ireland,Derry City - Drogheda United
44157853-2df7-430e-869e-3b92faf41af6,Football,Ireland,Dundalk - Shamrock Rovers
64ae35f5-a916-4f74-bdd4-14cc8217ad19,Football,Ireland,Sligo Rovers - Finn Harps
21ec0bbd-de76-42e3-9d43-f24ab980d101,Football,Ireland,St Patricks - UC Dublin
308ae767-b08d-40ea-9497-c7bddc1e1e4a,Football,Ireland,Athlone Town AFC - Cobh Ramblers
c33f1ab0-a2b5-4f0c-abd5-2514b94137d4,Football,Ireland,Cork City - Waterford
9b7070a6-d840-44fb-a203-626ad295c7de,Football,Ireland,Galway United FC - Treaty United
39b5d62a-d028-4178-8069-6dc408f6b822,Football,Ireland,Longford Town - Bray Wanderers
2c2dbf9a-7203-456b-b777-1c8944ca0f3e,Football,Scotland,Dundee Utd - Celtic
f51fe847-7135-4b57-ba7e-8788fcd6cd77,Football,Brazil,AA Portuguesa RJ - Sampaio Correa FC
fb860952-d2c2-425f-8ec3-9f103e36037b,Football,Brazil,Guarani SP - Vila Nova FC
41eaca33-eb68-4a99-b1f3-3b9fba3dabbe,Football,Brazil,Moto Clube MA - Tombense
4767cb47-e16a-476b-bef5-95f12abd381f,Football,Brazil,Ceara SC - Tuna Luso
00ed0d48-f386-430c-b2d2-d58ce030d4b6,Football,Chile,CD Antofagasta - CSD Colo-Colo
f4816956-ca5e-4762-b77d-8225c8ec8c60,Football,Brazil,Atletico Goianience GO - Nova Venecia
b3f302cd-e0a7-433c-b72b-77bfdbf2d93b,Football,Korea Republic,Daejeon Citizen FC - Ansan Greeners FC
6f291db9-38ca-40c1-8f04-5b0e568aea44,Football,Japan,Oita Trinita - Kashima Antlers
766c944e-0be8-425f-82c3-28c39be2daa8,Football,Japan,FC Tokyo - Jubilo Iwata
6794a7bd-a4a8-4227-9eb9-b06f934e8137,Football,Turkey,Yeni Malatyaspor - Kasimpasa
d587d1f7-c761-4475-82a0-8d0290169509,Football,Korea Republic,Gimpo Citizen FC - Chungnam Asan FC
72c0b435-650b-4113-a9d9-30ee085d1d3e,Football,Australia,Perth Glory - Brisbane Roar
fb2d3c3f-aa97-4538-92fd-c6a317db833f,Football,Israel,Beitar Jerusalem - Maccabi Haifa
d301d892-deb8-4e72-9738-bd8fa2116272,Football,Germany,Nurnberg - Dynamo Dresden
5456cce6-8769-4dcb-8366-7f1068d3b5f2,Football,England,Sheff Utd - Barnsley
64f2b4a8-310a-4383-8c40-b82adfef9e80,Football,Turkey,Goztepe - Alanyaspor
00df138d-7fc3-435e-8224-2185b9fecabc,Football,Turkey,Adana Demirspor - Istanbul Basaksehir
dd1763aa-a8ef-4c02-8021-d994f3b68838,Football,France,Auxerre - Toulouse
a0e6e70d-1031-4514-b04e-123ba39fa7a3,Football,Scotland,Celtic - Ross County
7c00b312-3762-489f-990f-3a07df38a206,Football,Belgium,Eupen - KV Mechelen
f0f0cc21-e972-4d57-a177-9cf0231937df,Football,Turkey,Besiktas - Hatayspor
ecf41961-5e19-4cbb-8ff8-8362610df0cf,Football,Poland,Lechia Gdansk - GKS Gornik Leczna
ec531fa3-7c4b-4eb7-8936-ce27f1eeb342,Football,Switzerland,St Gallen - Luzern
cf9e26d0-cc8e-453c-a265-0eed7612d25e,Football,Switzerland,FC Aarau - Yverdon-Sport FC
6caf4d25-2097-41fe-a4bd-ec57fb0a49f5,Football,Switzerland,Kriens - FC Schaffhausen
0b0c6ade-1f22-47ba-83ba-040c7456632a,Football,Spain,Lugo - Real Oviedo
31efeaa9-78a4-4373-a0a1-be829d6c3875,Football,Belgium,Charleroi - Cercle Brugge
daa3b5da-b06f-4477-b788-0143c6898a13,Football,Netherlands,Go Ahead Eagles - SC Cambuur
5a982865-b95b-436d-98a4-a1f651fdabad,Football,France,AC Ajaccio - Nimes
5c6afd94-dc07-4e55-93df-ea42b3413425,Football,France,Grenoble Foot 38 - SC Bastia
b1b78014-6d21-42d7-a246-3f288d1a3ee6,Ice Hockey,Germany,Augsburger Panther - Eisbaeren Berlin
17f6e8fe-41f7-426c-ac04-dd2dece08621,Ice Hockey,Germany,EHC Red Bull Munchen - ERC Ingolstadt
42a2f971-32cb-4fbf-9774-a8457c0f75b2,Ice Hockey,Germany,Krefeld Penguine - Iserlohn Roosters
fc91f1ae-9009-42f1-914e-876ccd4a2a3e,Ice Hockey,Germany,Bietigheim Steelers - Dusseldorfer EG
5fecfc38-e046-4768-8035-97229d5eec47,Football,Netherlands,Twente - PEC Zwolle
4c43bea3-aa8e-4375-a876-7006075b05ab,Football,Switzerland,Young Boys - FC Zurich
8a43cce7-85c2-4ce6-b85a-7022d6bbc997,Football,England,Crewe Alexandra - Wigan
19b784b1-9cec-434b-8ba5-f29c1b378829,Football,England,Rotherham - Lincoln City
f20da4c7-a6ed-47a1-87c4-4cd6d476cfba,Football,England,Sheff Wed - Accrington Stanley
f95f5dd9-69c5-4462-8e20-37981de225b7,Football,Scotland,Cowdenbeath FC - Forfar Athletic FC
af02ab54-8bd0-442b-aa69-001a471e966f,Football,Argentina,Nueva Chicago - CA Agropecuario
a9edd525-483d-4d71-bf16-a1253adc5811,Football,Australia,Western Sydney - Adelaide United
0b196db8-cab4-4e1a-b7f7-eb364b62ae20,Ice Hockey,Czech Republic,Draci Sumperk - HC Slovan Usti nad Labem
5b24886a-f5ba-4905-918a-9119a046569f,Football,Turkey,Antalyaspor - Giresunspor
dd6b2afd-0b79-44cb-85e1-1733456ad78f,Football,Turkey,Sivasspor - Altay SK
12b4134e-7b6c-4e87-895a-c97f101ec71e,Football,Belgium,Club Brugge - KRC Genk
140c44be-4037-4e3d-91e9-1b5b3c20182d,Football,South America,Barcelona SC - America Mineiro
a3fa455f-a392-4ac4-af7e-2ccba2f5efe7,Football,Turkey,Gaziantep FK - Galatasaray
89182e6c-a738-4185-ad90-51596d7d1098,Football,Netherlands,Ajax - Feyenoord
a8542c40-6556-4c31-9506-7dbd2dc16f76,Football,Denmark,FC Copenhagen - FC Nordsjaelland
32c75731-b2e1-42e8-bd17-5dc5706dd0d3,Football,Czech Republic,Mlada Boleslav - Sparta Prague
cb2480e1-4ef0-4497-90bb-7ce0feb4e500,Football,Switzerland,Lugano - Lausanne-Sport
ab3c2fb9-aa3a-4acd-bc7f-a44116d847c7,Football,Netherlands,PSV - Fortuna Sittard
ba6be2ad-0936-4577-b3e4-b980137fe963,Football,Serbia,Metalac Gornji Milanovac - Crvena Zvezda
9288523d-6bd2-4361-a247-02967a1dd032,Football,Turkey,Fenerbahce - Konyaspor
abef5f68-4ee6-4670-9e7d-e468445603bc,Football,Brazil,Ceilandia - SE do Gama
9680cc64-3112-4133-b586-e218c0291ff5,Ice Hockey,Switzerland,Ambri-Piotta - Rapperswil-Jona Lakers
7a60c78d-3b9b-4153-a0b9-d01a6fd0c844,Ice Hockey,Switzerland,Davos - Fribourg-Gotteron
f99643a2-7df5-475d-b50e-d521a77f9f7d,Ice Hockey,Switzerland,Biel - Lugano
d9e8be63-bb32-405d-a695-19903cb038d1,Ice Hockey,Switzerland,Zug - ZSC Lions Zurich
980b6728-7526-4e7a-a93b-ae3e28045081,Ice Hockey,Switzerland,Bern - Lausanne
cfcdf375-0572-4c33-b579-e204d3086582,Ice Hockey,Switzerland,SC Langnau Tigers - Geneve-Servette
9701786e-d663-4e58-947a-793e6d177b55,Football,Belgium,Sint-Truiden - Beerschot VA
5e00be69-25cc-4123-af98-4e631cecc511,Cricket,National teams,Pakistan (w) - Bangladesh (w)
e656c467-4119-4e7b-9995-b4a92b90d02f,E-Sports,Counter-Strike,Unique - Dignitas
0925228e-56eb-4a24-b142-bf48408f30ea,E-Sports,Counter-Strike,forZe - HEET
73585b5f-be9a-441a-a8f6-4f9a06344b69,E-Sports,Counter-Strike,SKADE - sAw
75819f64-1d51-4171-af9b-1ca97197ea03,Ice Hockey,NHL,St. Louis Blues - Winnipeg Jets
6187f2fb-3425-4b1f-adda-202d8f121fa7,Ice Hockey,NHL,Minnesota Wild - Nashville Predators
6d14e457-d6e6-46cf-9da3-636a51510e7e,Ice Hockey,NHL,Philadelphia Flyers - Montreal Canadiens
ad00273e-55d7-451f-9699-b3a1b22c5398,Ice Hockey,NHL,Columbus Blue Jackets - Vegas Golden Knights
2bef297e-34cd-4321-badf-bb35b9fb4be9,Basketball,NBA,Atlanta Hawks - Indiana Pacers
22815b11-894a-4ba1-b446-ef2c9bf22313,Basketball,NBA,New Orleans Pelicans - Houston Rockets
2c83a3e8-487f-4043-a932-97cb8a7a05c7,Basketball,NBA,Oklahoma City Thunder - Memphis Grizzlies
0b912707-3b87-4ec3-886c-2b0f96303977,Football,Mexico,Club Atlante - Cimarrones de Sonora
5f687e2d-9e96-40f2-9d9a-38d5f334339b,Football,Argentina,Independiente Rivadavia - Club Atletico Mitre
56346782-190d-415f-bba4-42ddfbe2ed4f,Ice Hockey,NHL,New York Islanders - Anaheim Ducks
0c67680c-5c01-40ed-b0ac-8a07804bd070,Ice Hockey,NHL,Colorado Avalanche - Calgary Flames
e19ab869-17d6-46c7-a7f3-df242b62adf4,Football,Argentina,Estudiantes La Plata - Boca Juniors
8987167e-e604-45e4-a48c-2e18902aab51,Basketball,NBA,Phoenix Suns - Los Angeles Lakers
c354b111-a954-4674-8ebc-b094a40e7397,Cricket,National teams,South Africa (w) - England (w)
7b6aaa15-3b2e-4977-8b1a-59472eeb0817,Ice Hockey,NHL,Vancouver Canucks - Tampa Bay Lightning
49df6d06-933f-4e4e-9ef7-8c60b6788330,Ice Hockey,NHL,Los Angeles Kings - Florida Panthers
8ab64b8c-fd0f-44ca-a846-aaeb596e8b4a,Football,Kazakhstan,Astana - Aktobe
5733e9c7-3a07-43dc-b964-2f4c4eea8fd8,Football,Paraguay,Guairena FC - 12 de Octubre de Itaugua
ee3b77fb-a5b8-4f1f-82ca-0c7b63c120b4,Football,Paraguay,Nacional Asuncion - Libertad Asuncion
6bb1bd42-87d3-4c8c-824c-f5f17e38fad1,Volleyball,Korea Republic,Uijeongbu KB Stars - Seoul Woori Card
bd57b32b-dc48-4906-8746-18d0be4c45ed,Football,Kazakhstan,Kairat Almaty - Taraz
e9cce181-3196-44ba-9a8a-82dd275d761b,Football,Netherlands,FC Den Bosch - Jong PSV
98b446e7-975b-4423-a862-336c4a8e45af,Football,Netherlands,FC Dordrecht - TOP Oss
b3fffe8c-0645-45f2-97af-1f3e6951620b,Football,Netherlands,Emmen - FC Volendam
26582d08-5834-4657-a3b9-b16e55de357b,Football,Netherlands,FC Eindhoven - ADO Den Haag
5b1a77d6-92d9-4b89-909c-71781591d0e0,Football,Netherlands,Roda JC - BV De Graafschap
fdecf8f4-b611-4281-a149-1699dfdff106,Football,Netherlands,Telstar - NAC Breda
bcd21561-5db9-4f65-91d4-d2b8009963e5,Football,Netherlands,Helmond Sport - VVV-Venlo
3a3f1464-4b3f-4c4b-baa3-6b8ab69f67f5,Ice Hockey,Germany,Bietigheim Steelers - Grizzly Wolfsburg
d85695f1-ad18-4a17-a013-76a2588575a1,Ice Hockey,Russia,Gornyak-UGMK - Yugra
dfe8231f-4553-46f5-aa09-500a9f5159ff,Football,Serbia,FK Novi Pazar - Mladost Lucani
